== vae_miniwan_womd: miniwan, 5.60M params, world 4, per-rank batch 6 x accum 1 = effective 24; 1666 steps/epoch, 83300 steps total
{"VAE_ZDIM": 16, "VAE_DIM": 20, "VAE_NUM_RES_BLOCKS": 2, "VAE_INPUT_NORM": true, "INPUT_NORM_MEAN": [0.6014379089315451, 0.6051588518894708, 0.6036423582790911], "INPUT_NORM_STD": [0.08911796400949443, 0.08588843954384612, 0.1257365217955014], "VAE_DROPOUT": 0.1, "VAE_STREAMING": false, "FRAMES": 33, "IMG": 96, "FPS": 7, "DATASET": "womd_7hz_f33", "INIT": "miniwan", "EPOCHS": 50, "EFFECTIVE_BATCH": 24, "VAE_LR": 0.0002, "VAE_LR_END": 1e-06, "WARMUP_FRAC": 0.1, "VAE_WD": 1e-05, "KL_W": 0.0003, "KL_WARM_FRAC": 0.1, "VAE_LPIPS_W": 0.05, "VAE_LPIPS_NET": "alex", "GRAD_CLIP": 1.0, "PRECISION": "bf16", "SEED": 0}
[vae_miniwan_womd] ep   0 (init) val PSNR 5.142 LPIPS 0.8628 MSE 0.306638
  step 4900 (1568/1666 this epoch) | 490 ms/step | ~1 min left in epoch | rec 0.00268 lpips 0.0814 lr 1.18e-04
[vae_miniwan_womd] ep   3/50 train rec 0.002663 LPIPS 0.0807 KL 0.969 (816s) | val PSNR 26.658 LPIPS 0.1192 MSE 0.002386  *best*
  step 5000 (2/1666 this epoch) | 545 ms/step | ~15 min left in epoch | rec 0.00244 lpips 0.0657 lr 1.20e-04
  step 5100 (102/1666 this epoch) | 489 ms/step | ~13 min left in epoch | rec 0.00236 lpips 0.0691 lr 1.22e-04
  step 5200 (202/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00235 lpips 0.0690 lr 1.25e-04
  step 5300 (302/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00235 lpips 0.0691 lr 1.27e-04
  step 5400 (402/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00234 lpips 0.0686 lr 1.30e-04
  step 5500 (502/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00235 lpips 0.0686 lr 1.32e-04
  step 5600 (602/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00234 lpips 0.0680 lr 1.34e-04
  step 5700 (702/1666 this epoch) | 490 ms/step | ~8 min left in epoch | rec 0.00231 lpips 0.0674 lr 1.37e-04
  step 5800 (802/1666 this epoch) | 490 ms/step | ~7 min left in epoch | rec 0.00230 lpips 0.0672 lr 1.39e-04
  step 5900 (902/1666 this epoch) | 489 ms/step | ~6 min left in epoch | rec 0.00230 lpips 0.0668 lr 1.42e-04
  step 6000 (1002/1666 this epoch) | 489 ms/step | ~5 min left in epoch | rec 0.00228 lpips 0.0664 lr 1.44e-04
  step 6100 (1102/1666 this epoch) | 489 ms/step | ~5 min left in epoch | rec 0.00227 lpips 0.0660 lr 1.46e-04
  step 6200 (1202/1666 this epoch) | 489 ms/step | ~4 min left in epoch | rec 0.00226 lpips 0.0657 lr 1.49e-04
  step 6300 (1302/1666 this epoch) | 489 ms/step | ~3 min left in epoch | rec 0.00224 lpips 0.0653 lr 1.51e-04
